orden_ing,suborden,renglon,destino,dia,hora,observa,conocim2,Estado,id,cliente,tipo_oper,fecha_ing,contenedor,desc_merc,conocim1,dimension,tipo_cnt,volumen,Envase,fecha_egr,cantidad,bookings,kilos,precinto,salida_validada,salida_vacio_validada,fechaverif,ubicacion
31641,1,1,Remision,2024-11-06,8:30 ,TERMINAL  4   13HS,245891014           ,En curso,31641-1-1,Leterago Sa,Exportacion,2024-10-25,MSKU-056293-4,Grlae2476/ Leterago,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1                 
31642,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4   13HS,245891014           ,En curso,31642-1-1,Leterago Sa,Exportacion,2024-10-25,MRSU-328593-7,Grlae2476/ Leterago,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1                 
31643,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4    13HS,245891014           ,En curso,31643-1-1,Leterago Sa,Exportacion,2024-10-25,GCXU-555624-8,Grlae2476/ Leterago,245891014                     ,0,  ,-0.00,Bultos,2024-11-06,15,                    ,,,,,,EA1                 
31675,1,1,Remision,2024-11-06,8:30 ,TERMINAL 4       13HS,245891014           ,En curso,31675-1-1,Leterago Sa,Exportacion,2024-10-31,MRKU-504719-6,Grlae2476/ 245891014,245891014                     ,0,  ,60.00,Bultos,2024-11-06,17,                    ,,,,,,EA3                 
31744,1,1,Remision,2024-11-06,9:00 ,TERMINAL 4   15HS,67979767            ,En curso,31744-1-1,Hector Reboratti,Exportacion,2024-10-23,TCKU-646202-8,Grlae2469/  67979767,67979767                      ,0,  ,-0.00,Bultos,2024-11-06,18,                    ,,,,,,EA5                 
31740,1,1,Remision,2024-11-06,9:00 ,TERMINAL 4   17HS,64645199            ,En curso,31740-1-1,Maringa Maderas Sa,Exportacion,2024-11-04,TCLU-544389-0,Grlem241218/Maringa,64645199                      ,0,  ,-0.00,Bultos,2024-11-06,60,                    ,,,,,,EA9                 
31751,0,1,Retiro,2024-11-06,9:00 ,,ESL24090494         ,En curso,31751-0-1,Novelty Trend Srl,Importacion,2024-11-05,GAOU-748182-4,Telas,ESL24090494                   ,40,HC,-0.00,Contenedor,2024-11-06,1,                    ,,,,,,PLZA                
30998,1,1,Retiro,2024-11-07,8:00 ,,LIFBUE24090013      ,Pendiente,30998-1-1,Lift Van Int. Co S.A,Importacion,2024-09-25,HLXU-531526-0,Gerlero Martin / Efectos Personales,HLCUBO2240814827              ,40,DR,55.00,Bultos,,293,HLCUBO2240814827    ,5680.00,004473              ,,,,NV3                 
31592,0,1,Retiro,2024-11-07,8:00 ,,SWW24090046         ,Pendiente,31592-0-1,Daniel Berant,Importacion,2024-10-28,MRKU-507225-0,Polyester,                              ,40,HC,0.00,Contenedor,,1,                    ,21322.69,MLCN7714157         ,,,,PLZA                
31268,1,1,Retiro,2024-11-07,8:00 ,,LIFBUE24100008      ,Pendiente,31268-1-1,Lift Van Int. Co S.A,Importacion,2024-10-10,FSCU-514386-8,Mudanza - Berardi Juan Pablo,IBC1240658                    ,40,DR,53.00,Bultos,,209,IBC1240658          ,3230.00,L2683508            ,,,,NV2                 
31674,2,1,Retiro,2024-11-07,8:00 ,VEHICULO,LIFBUE24080010B     ,Pendiente,31674-2-1,Lift Van Int. Co S.A,Importacion,2024-10-31,HLBU-153857-2,Embajada De Eeuu,HLUSPIL240805301              ,40,DR,5.00,Bultos,,1,HLUSPIL240805301    ,1496.00,38448               ,,,,NV1                 
31735,0,2,Retiro,2024-11-07,8:00 ,,NB240847749         ,Pendiente,31735-0-2,Shipy S.A.,Importacion,2024-11-04,ONEU-033041-5,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,6400.00,CNDB61855           ,,,,PLZA                
31735,0,1,Retiro,2024-11-07,8:00 ,,NB240847749         ,Pendiente,31735-0-1,Shipy S.A.,Importacion,2024-11-04,TRHU-406176-5,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,6740.00,CNDB45262           ,,,,PLZA                
31735,0,3,Retiro,2024-11-07,8:00 ,,NB240847749         ,Pendiente,31735-0-3,Shipy S.A.,Importacion,2024-11-04,TRHU-586481-7,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,8500.00,CNDB61385           ,,,,PLZA                
31415,1,1,Retiro,2024-11-07,8:00 ,,MSA170434           ,Pendiente,31415-1-1,Prowood S.A.,Importacion,2024-10-21,MRKU-060858-7,Alarm Parts,243870224                     ,40,DR,28.00,Pallets,,33,243870224           ,4396.00,0162643             ,,,,IA6                 
31755,0,1,Retiro,2024-11-08,8:00 ,,BSZFL24090491       ,Pendiente,31755-0-1,Tmcp S.A.S.,Importacion,2024-11-05,MRSU-408539-0,Barber Chair,                              ,40,HC,0.00,Contenedor,,1,                    ,10910.00,ML-CN5635770        ,,,,PLZA                
31755,0,2,Retiro,2024-11-08,8:00 ,,BSZFL24090491       ,Pendiente,31755-0-2,Tmcp S.A.S.,Importacion,2024-11-05,CAAU-831019-3,Barber Chair,                              ,40,HC,0.00,Contenedor,,1,                    ,11420.00,ML-CN8027209        ,,,,PLZA                
31735,0,2,Verificacion,2024-11-06,8:00 ,,NB240847749         ,Realizado,31735-0-2,Shipy S.A.,Importacion,2024-11-04,ONEU-033041-5,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,6400.00,CNDB61855           ,,,2024-11-06,PLZA                
31735,0,1,Verificacion,2024-11-06,8:00 ,,NB240847749         ,Realizado,31735-0-1,Shipy S.A.,Importacion,2024-11-04,TRHU-406176-5,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,6740.00,CNDB45262           ,,,2024-11-06,PLZA                
31735,0,3,Verificacion,2024-11-06,8:00 ,,NB240847749         ,Realizado,31735-0-3,Shipy S.A.,Importacion,2024-11-04,TRHU-586481-7,Xmas Items,                              ,40,HC,0.00,Contenedor,,1,                    ,8500.00,CNDB61385           ,,,2024-11-06,PLZA                
31711,1,1,Verificacion,2024-11-06,9:30 ,,ZIMUBUE9036121      ,Realizado,31711-1-1,Siete Hermanos Srl,Exportacion,2024-11-01,ZCSU-681802-0,Booking: Zimubue9036121,24001EC01071394K              ,0,  ,0.00,Bultos,,27,                    ,21537.00,                    ,,,2024-11-06,P-TIN               
31736,0,1,Verificacion,2024-11-06,9:30 ,,EBKG10693458        ,Realizado,31736-0-1,Brest Luis Angel,Exportacion,2024-11-05,             ,Grlem241270 //Ebkg10693458 // Remito 51,                              ,0,  ,60.00,Bultos,,86,EBKG10693458        ,26910.00,                    ,,,2024-11-06,IB6                 
31741,1,1,Consolidado,2024-11-06,9:00 ,,BUE400157200        ,Pendiente,31741-1-1,Borax Argentina S A,Exportacion,2024-11-04,PCIU-464848-1,Vacio,  : 0                         ,40,DR,60.00,Contenedor,,32,BUE400157200        ,26878.00,******************* ,,,,EA3                 
31742,1,1,Consolidado,2024-11-06,9:00 ,,BUE400157200        ,Pendiente,31742-1-1,Borax Argentina S A,Exportacion,2024-11-04,PCIU-456582-8,Vacio,  : 0                         ,40,DR,60.00,Contenedor,,32,BUE400157200        ,26878.00,*****************   ,,,,EA3                 
31765,1,1,Consolidado,2024-11-06,9:00 ,,63645644            ,Pendiente,31765-1-1,Suabia Maderas Srl,Exportacion,2024-11-05,HLBU-143349-0,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,38,63645644            ,26360.00,********************,,,,EA3                 
31719,1,1,Consolidado,2024-11-06,9:00 ,,340400037806        ,Pendiente,31719-1-1,Isischu Srl,Exportacion,2024-11-01,DRYU-990197-5,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,16,340400037806        ,26880.00,*************       ,,,,EA9                 
31720,1,1,Consolidado,2024-11-06,9:00 ,,340400037806        ,Pendiente,31720-1-1,Isischu Srl,Exportacion,2024-11-01,TIIU-461002-7,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,16,340400037806        ,26880.00,**********          ,,,,EA9                 
31768,1,1,Consolidado,2024-11-06,9:30 ,,245841324           ,Pendiente,31768-1-1,Leterago Sa,Exportacion,2024-11-01,MSKU-145004-0,Vacio,  : 0                         ,40,HC,60.00,Contenedor,,52,245841324           ,23760.00,********************,,,,EA8                 
